수박 Num,파일명,특징A (형태비율),특징B (선명도),특징C (면적 %),특징D (평균굵기),특징E (파편화/가닥),당도 (Brix),상태
1,1_jpg.rf.2iuY9m4kFpv2UImyXejD.jpg,0.863,104.87,28.68,8.32,246,10.5,성공
2,2_jpg.rf.X2Va14wmcZjcrUlBHvbQ.jpg,0.909,104.8,17.64,11.93,175,10.5,성공
3,3_jpg.rf.sFWfSYITscHLUu0WH3ol.jpg,0.918,106.83,23.08,8.82,107,10.5,성공
4,4_jpg.rf.btg9dUMhD33V2OJogZVK.jpg,0.917,100.72,25.28,9.84,288,10.5,성공
5,5_jpg.rf.uJFv6slDRB72rqaNZG8J.jpg,0.921,104.14,20.86,6.98,371,10.5,성공
6,6_jpg.rf.sdIWRL5sk3MA9zxYoDx4.jpg,0.915,107.94,20.6,9.68,106,10.5,성공
7,7_jpg.rf.r9lFfrqWn6nvSsLYmjZu.jpg,0.931,106.99,27.14,11.22,121,10.5,성공
8,8_jpg.rf.nOiTgNzTAh9sPlIqZqrI.jpg,0.869,108.7,28.72,10.07,121,10.5,성공
9,9_jpg.rf.6iezpfQkSL4M0uRQZ0Zp.jpg,0.919,106.71,22.89,10.36,130,10.5,성공
10,10_jpg.rf.akvREK0758xgbbJPoflC.jpg,0.828,102.48,36.54,35.85,84,9.7,성공
11,11_jpg.rf.r0xBD2zofIRAm5HI3Lsz.jpg,0.838,94.73,33.14,35.23,111,9.7,성공
12,12_jpg.rf.AYJyr2WlMwbbg3erVOPq.jpg,0.83,104.28,36.34,37.79,68,9.7,성공
13,13_jpg.rf.RKMbKpgy98IdVKUp5kj6.jpg,0.805,79.91,40.69,38.19,364,9.7,성공
14,14_jpg.rf.C8Tlg3n5RSUAXPB4H83P.jpg,0.835,106.91,29.17,31.82,173,9.7,성공
15,15_jpg.rf.0SHRqXxCxk2s4hagE00l.jpg,0.833,102.5,35.43,37.76,159,9.7,성공
16,16_jpg.rf.tywddJZ6wLtRYN2nrXE1.jpg,0.815,97.84,38.31,34.87,145,9.7,성공
17,17_jpg.rf.i3tyUhIT1lGrTXzQNXQU.jpg,0.856,108.42,31.82,31.33,128,9.7,성공
18,18_jpg.rf.e5ixVnevJJ1IPtyFQ44y.jpg,0.832,104.01,32.85,30.92,214,9.7,성공
19,19_jpg.rf.XSnDvSeNCTxejImQ3o5Y.jpg,0.982,103.04,27.75,11.28,162,11.1,성공
20,20_jpg.rf.GycvLacVHsy5YM3NrEj6.jpg,0.972,101.59,28.19,12.07,116,11.1,성공
21,21_jpg.rf.cHigt6IZuKIDFTHzhaDU.jpg,0.961,104.87,23.83,11.78,74,11.1,성공
22,22_jpg.rf.LSpQxh8VTwPtIq4FxTD8.jpg,0.934,104.04,29.54,13.79,83,11.1,성공
23,23_jpg.rf.pZQuX7f1nYA60gOp3ngc.jpg,0.953,107.95,25.55,14.57,85,11.1,성공
24,24_jpg.rf.DdmGn9f5Cd2x6JBjeQYM.jpg,0.934,106.77,29.33,13.92,73,11.1,성공
25,25_jpg.rf.qKxofOD6NrDmq0OsP2Sc.jpg,0.918,109.41,30.12,15.76,65,11.1,성공
26,26_jpg.rf.E3EX5RN0g5lfG6AYExkx.jpg,0.938,109.05,24.91,12.52,118,11.1,성공
27,27_jpg.rf.lkJaxEMJieBPeOfiW9Ix.jpg,0.95,107.31,26.73,11.99,112,11.1,성공
28,28_jpg.rf.sFCQzCMIcDGoUMvkbQuh.jpg,0.932,103.09,27.5,30.27,389,10.8,성공
29,29_jpg.rf.tXHSsyQDTLF3kQWDrSnu.jpg,0.921,97.17,29.49,33.65,386,10.8,성공
30,30_jpg.rf.RnRvd861nXiCoPwpuofb.jpg,0.919,96.37,27.28,30.11,458,10.8,성공
31,31_jpg.rf.5DUS8GwKv2FRAM1v9eDT.jpg,0.913,89.63,28.04,14.2,1119,10.8,성공
32,32_jpg.rf.A4pfh8ZXoEDUw2Xybgr8.jpg,0.94,89.3,28.08,17.0,1128,10.8,성공
33,33_jpg.rf.4wveK32uAZhXD4gKGSDp.jpg,0.907,98.69,23.96,36.94,131,10.8,성공
34,34_jpg.rf.T3rZZmDUPQOAXcUqz6QA.jpg,0.892,90.39,28.81,33.75,572,10.8,성공
35,35_jpg.rf.Ep5GDHxYYqa2kESHeRMv.jpg,0.909,89.59,27.65,36.64,253,10.8,성공
36,36_jpg.rf.uWjrcAeUZR1em570X90l.jpg,0.891,90.84,31.36,25.01,785,10.8,성공
37,37_jpg.rf.LbCc6Kw1GOud9DycgTbc.jpg,0.797,105.91,26.27,9.41,134,11.0,성공
38,38_jpg.rf.HdGxX7JRF2gbPOBq0PPu.jpg,0.822,108.66,27.75,9.93,68,11.0,성공
39,39_jpg.rf.idVETfgW4lpCYIzObSHl.jpg,0.814,106.88,27.58,11.03,65,11.0,성공
40,40_jpg.rf.13UTZfblRfjRImJ4o6F1.jpg,0.836,98.04,25.51,10.62,133,11.0,성공
41,41_jpg.rf.T3fDyyyM9Cx5m5kT9QoL.jpg,0.805,106.84,26.11,13.79,132,11.0,성공
42,42_jpg.rf.5bhKKx7KDBREsfUj3OxO.jpg,0.824,102.76,31.41,13.17,104,11.0,성공
43,43_jpg.rf.wAJN0bgK3GUdEccF4I6G.jpg,0.81,112.77,26.6,11.12,51,11.0,성공
44,44_jpg.rf.OGa6055rOPnGthPHAlIt.jpg,0.797,111.09,24.57,11.54,124,11.0,성공
45,45_jpg.rf.drgOfy6ncQaZ1D8oVS3L.jpg,0.816,105.18,27.94,11.91,67,11.0,성공
46,46_jpg.rf.zZW6xymYcpBXbtTSiwj0.jpg,0.862,108.56,26.48,9.77,224,10.3,성공
49,49_jpg.rf.Eub5PVnKzWFwnXHG65Ss.jpg,0.889,104.06,28.59,14.02,72,10.3,성공
76,76_jpg.rf.u9cidOj9QWpbwO2TWgx8.jpg,0.92,108.45,27.44,4.56,124,11.0,성공
88,88_jpg.rf.zO5m12riOg2ylg8ey892.jpg,0.828,95.1,10.54,3.06,343,10.0,성공
90,90_jpg.rf.9q6LYpfGpENvIsNDLCKZ.jpg,0.93,104.78,14.09,3.37,322,10.0,성공
93,93_jpg.rf.i1gAOuJETompFpE4IKaJ.jpg,0.841,104.8,34.44,6.68,60,10.9,성공
100,100_jpg.rf.OOZp4WadTyy4SSK6Qbro.jpg,0.93,112.39,22.15,29.21,151,11.6,성공
101,101_jpg.rf.wovYHLE4g7zAR3yG6TCO.jpg,0.878,100.52,21.2,29.99,139,11.6,성공
102,102_jpg.rf.1xr8qCAIItnTZ8Y1t5D5.jpg,0.88,82.52,18.89,19.39,527,11.6,성공
103,103_jpg.rf.2xtcjbcBCbkd3fctBEEN.jpg,0.932,111.33,19.55,9.66,347,11.6,성공
104,104_jpg.rf.lvXJLdN3gDMCf2elCaMs.jpg,0.854,88.17,21.06,16.09,290,11.6,성공
105,105_jpg.rf.LUVSMXYLcN1PY43OjMZs.jpg,0.898,114.83,20.95,21.02,134,11.6,성공
106,106_jpg.rf.w1ewgQOsb6n5pbumVGQu.jpg,0.944,119.96,19.81,15.87,156,11.6,성공
107,107_jpg.rf.t6rVhCTbsWPzEuCUxEKY.jpg,0.921,116.96,17.65,6.53,243,11.6,성공
108,108_jpg.rf.Tb2svAIQOfqL6dtybn1f.jpg,0.963,112.49,19.5,9.44,306,11.6,성공
109,109_jpg.rf.XegH5wWhQWf7UsoTc6BQ.jpg,0.916,113.27,17.05,3.45,64,12.7,성공
110,110_jpg.rf.fCLggbOecR69R24HATUt.jpg,0.896,114.5,15.25,2.74,53,12.7,성공
111,111_jpg.rf.yDtpOYVFVnIgjAScZ0nB.jpg,0.929,105.55,17.76,2.56,60,12.7,성공
112,112_jpg.rf.JcWvEerCZXUufp5iN5Uw.jpg,0.975,110.9,17.33,3.84,40,12.7,성공
113,113_jpg.rf.qEYn1KuWcg8s8vnDbCkh.jpg,1.0,89.19,21.32,2.54,42,12.7,성공
114,114_jpg.rf.SEIjzTTVdlqV5C4qYNA9.jpg,0.993,110.57,16.2,3.31,56,12.7,성공
115,115_jpg.rf.gkWUQOSP4IEz36ZUjxVE.jpg,0.999,94.54,16.8,4.02,66,12.7,성공
116,116_jpg.rf.aZf4e0V4dERziqTuOT91.jpg,0.962,116.58,17.48,3.37,41,12.7,성공
118,118_jpg.rf.6PziFL89Qo5QG1afjjKX.jpg,0.942,100.9,11.61,4.54,213,9.4,성공
119,119_jpg.rf.oEUhNAMrXtFBvCjgc2BV.jpg,0.981,100.82,11.63,8.1,124,9.4,성공
120,120_jpg.rf.IUMIFzIVj9oFmBBS4KFo.jpg,0.909,106.63,12.14,6.91,151,9.4,성공
121,121_jpg.rf.GtSAUuJ9WjcuHxKGztkI.jpg,0.872,96.2,6.74,2.22,269,9.4,성공
122,122_jpg.rf.9E8N4xk26a5ocByvG384.jpg,0.934,103.7,14.1,6.36,162,9.4,성공
123,123_jpg.rf.5B3qyTBXBpM4Jx94nxzL.jpg,0.899,102.55,13.3,6.04,170,9.4,성공
124,124_jpg.rf.CLA78XIIYDRW0OhwuBKP.jpg,0.917,97.91,9.16,4.41,192,9.4,성공
125,125_jpg.rf.4s1ZAP754eFzQMnQJiqt.jpg,0.933,102.91,14.52,5.91,206,9.4,성공
126,126_jpg.rf.WBmOyBqRBG2enV6dXMp7.jpg,0.914,93.69,16.35,5.71,250,9.4,성공
127,127_jpg.rf.GIgMeQdzbKuCr8lNWfug.jpg,0.975,119.52,23.99,6.27,86,9.4,성공
128,128_jpg.rf.aLsGo9A3ieIJvKDXzdVW.jpg,0.983,126.38,30.93,8.24,58,9.4,성공
129,129_jpg.rf.sEN0UU2bVb8oCpDBEHFP.jpg,0.92,112.74,25.3,8.33,255,9.4,성공
130,130_jpg.rf.vUDMeFx9MENsk3UlGuCZ.jpg,0.941,126.89,30.66,8.56,89,9.4,성공
131,131_jpg.rf.Vqgm273UeR9Gh5gIqCa9.jpg,0.906,111.71,26.14,11.49,113,9.4,성공
132,132_jpg.rf.n9cWst5KyQ2sr67ciPro.jpg,0.95,124.61,26.8,7.45,72,9.4,성공
133,133_jpg.rf.NUC0tb7q7cY8yBLcMX5l.jpg,0.979,115.0,22.12,5.31,145,9.4,성공
134,134_jpg.rf.bdlncYbTfK99Xz8OaF6P.jpg,0.959,126.65,27.89,8.74,59,9.4,성공
135,135_jpg.rf.i8vjFSfr1MptKy5j3o7m.jpg,0.827,90.32,21.06,6.51,310,9.4,성공
136,136_jpg.rf.NQfHuozJBGijHlIHJ0gt.jpg,0.791,95.77,20.3,12.56,106,10.2,성공
137,137_jpg.rf.rzy9NBsUwSUltn7PGU1h.jpg,0.8,112.98,24.36,10.83,165,10.2,성공
138,138_jpg.rf.wUIJwQMsvkfS6ZjCTKDm.jpg,0.811,108.32,14.04,6.74,157,10.2,성공
139,139_jpg.rf.4EciHTsAgEIeLQxxUuNl.jpg,0.793,96.88,11.07,3.61,222,10.2,성공
140,140_jpg.rf.6KwNsvEyHGBVvWydfGc7.jpg,0.793,114.43,25.71,12.91,97,10.2,성공
141,141_jpg.rf.cIKUksJUYIpuDHCCtpe6.jpg,0.772,100.43,19.65,12.91,121,10.2,성공
142,142_jpg.rf.tfAcfCNmRfeBRVgFKYML.jpg,0.768,118.76,26.69,11.73,144,10.2,성공
143,143_jpg.rf.G97y43ikWzGPkciZcy4O.jpg,0.792,109.24,6.2,2.52,154,10.2,성공
144,144_jpg.rf.QTsVTGKFlGLWBV5FZ2DZ.jpg,0.806,115.27,27.31,10.94,63,10.2,성공
145,145_jpg.rf.V9WBwDVPOtqIJz5HPTcG.jpg,0.862,103.05,8.68,6.78,74,8.7,성공
146,146_jpg.rf.hqXAHPpTAqLigrSLC4jo.jpg,0.864,120.89,27.79,10.88,69,8.7,성공
147,147_jpg.rf.LR1Qub6Elh5SsWGvz6lt.jpg,0.832,118.46,24.72,12.03,78,8.7,성공
148,148_jpg.rf.H1VG3pUc2Fk0yoJDtQAF.jpg,0.842,120.83,13.59,7.74,46,8.7,성공
149,149_jpg.rf.hwNEOhJvQZnBqZdf9JXn.jpg,0.843,130.47,32.22,12.13,81,8.7,성공
151,151_jpg.rf.AQjOLG9ypd9BuDwF3M7P.jpg,0.84,108.29,27.27,10.05,137,8.7,성공
152,152_jpg.rf.mZGQbvw6IqpZJwpW5Lgs.jpg,0.83,116.78,31.18,13.78,54,8.7,성공
153,153_jpg.rf.1V8OHE9IpM8lYWDxS9Th.jpg,0.832,126.49,29.82,10.7,43,8.7,성공
154,154_jpg.rf.vBc2XtAO8d8MHiAwhesA.jpg,0.935,116.84,21.85,14.05,301,9.0,성공
155,155_jpg.rf.jYNQcvvtNfJh1AUIpqkJ.jpg,0.946,112.23,21.28,14.25,234,9.0,성공
156,156_jpg.rf.yb2JuOo7IfLrVW6JOwHV.jpg,0.935,105.21,21.66,25.34,212,9.0,성공
157,157_jpg.rf.WwGM04zh7mcOgq8Ksrzj.jpg,0.923,111.88,24.14,23.5,115,9.0,성공
158,158_jpg.rf.yLz3vT6TGRRd4OxwE2aq.jpg,0.942,109.95,23.19,18.76,180,9.0,성공
159,159_jpg.rf.WcUT2d3wA1ggoXWfRMdb.jpg,0.936,117.05,25.3,25.92,189,9.0,성공
160,160_jpg.rf.oZg8ZJKNQ1upi7319TaN.jpg,0.975,119.73,24.67,13.96,201,9.0,성공
161,161_jpg.rf.1QRaR5SfF3YGo3CufId9.jpg,0.953,108.28,27.06,33.86,82,9.0,성공
162,162_jpg.rf.MMKH0qiSVJzRQmdSFfFB.jpg,0.946,82.46,30.49,23.82,411,9.0,성공
163,163_jpg.rf.4ZcPHkO68a5mcAMabJGt.jpg,0.927,93.17,22.71,8.49,194,9.6,성공
164,164_jpg.rf.N7q4ZkJbDszLwARYfJGO.jpg,0.903,96.82,11.45,2.79,412,9.6,성공
165,165_jpg.rf.dzgfP9mXLeQp7dXuTu5x.jpg,0.886,96.04,6.87,2.74,234,9.6,성공
166,166_jpg.rf.WpTXorVE7QvMfDZFvvTK.jpg,0.901,93.44,17.33,6.88,255,9.6,성공
167,167_jpg.rf.kZQ65u5oRxMgYYdEbMQ2.jpg,0.904,110.84,13.74,3.74,196,9.6,성공
168,168_jpg.rf.iq1YkwpHc3XunbmcJnYf.jpg,0.93,89.69,6.38,2.6,251,9.6,성공
169,169_jpg.rf.8c0egEODl8AdAd7aEvwF.jpg,0.893,118.37,20.33,8.06,203,9.6,성공
170,170_jpg.rf.CTn2WAwRqNGosTS8la95.jpg,0.904,104.69,11.52,3.44,408,9.6,성공
171,171_jpg.rf.sSvZeYbdLAikJupZ4Mp8.jpg,0.925,95.35,8.97,3.75,224,9.6,성공
